id	submission_id	user	username	userImageURL	downloadURL	hyperparameter	description	result	last	final	accuracy	f1
54	6262	203	"박성배_T1247"	"https://s3-ap-northeast-2.amazonaws.com/prod-aistages-public/app/Users/00000203/user_image.png"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000001/Users/00000203/Submissions/0054/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210409%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210409T001902Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=84c6f85df661a62e01fea927e2c5dd315b1553d248ed350df821c81c2d171578"	"{\"training\": {}, \"inference\": {}}"	""	"{\"accuracy\": {\"value\": \"82.2222%\", \"rank\": false, \"decs\": true}, \"f1\": {\"value\": \"0.7835\", \"rank\": true, \"decs\": true}}"	"2021-04-08T15:12:02.085471+09:00"	true	"82.2222%"	"0.7835"
53	6220	203	"박성배_T1247"	"https://s3-ap-northeast-2.amazonaws.com/prod-aistages-public/app/Users/00000203/user_image.png"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000001/Users/00000203/Submissions/0053/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210409%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210409T001902Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=4ac3cbe2fc67b06a135a071ff1a66d6b2a08b8b331251c4b89db1e351e028665"	"{\"training\": {}, \"inference\": {}}"	""	"{\"accuracy\": {\"value\": \"81.6508%\", \"rank\": false, \"decs\": true}, \"f1\": {\"value\": \"0.7767\", \"rank\": true, \"decs\": true}}"	"2021-04-08T14:51:55.695761+09:00"	false	"81.6508%"	"0.7767"
51	6043	203	"박성배_T1247"	"https://s3-ap-northeast-2.amazonaws.com/prod-aistages-public/app/Users/00000203/user_image.png"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000001/Users/00000203/Submissions/0051/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210409%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210409T001902Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=248b14e2422970da4d68190afbec3c997a086e3dbf5e91e0aae536f256f894c9"	"{\"training\": {}, \"inference\": {}}"	""	"{\"accuracy\": {\"value\": \"81.6190%\", \"rank\": false, \"decs\": true}, \"f1\": {\"value\": \"0.7761\", \"rank\": true, \"decs\": true}}"	"2021-04-08T13:05:44.499648+09:00"	false	"81.6190%"	"0.7761"
52	6088	203	"박성배_T1247"	"https://s3-ap-northeast-2.amazonaws.com/prod-aistages-public/app/Users/00000203/user_image.png"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000001/Users/00000203/Submissions/0052/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210409%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210409T001902Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=c1c361533af1244e3a8a8c7944228be21f81a38710dcefbb196a51e18b5e6613"	"{\"training\": {}, \"inference\": {}}"	""	"{\"accuracy\": {\"value\": \"81.6032%\", \"rank\": false, \"decs\": true}, \"f1\": {\"value\": \"0.7760\", \"rank\": true, \"decs\": true}}"	"2021-04-08T13:30:23.462696+09:00"	false	"81.6032%"	"0.7760"
50	5969	203	"박성배_T1247"	"https://s3-ap-northeast-2.amazonaws.com/prod-aistages-public/app/Users/00000203/user_image.png"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000001/Users/00000203/Submissions/0050/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210409%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210409T001902Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=37bf7088d9b4966f12a3c0028ed43a829977d941cd2b44dd0cdd8207f07a59b5"	"{\"training\": {}, \"inference\": {}}"	""	"{\"accuracy\": {\"value\": \"81.7302%\", \"rank\": false, \"decs\": true}, \"f1\": {\"value\": \"0.7737\", \"rank\": true, \"decs\": true}}"	"2021-04-08T12:14:18.288857+09:00"	false	"81.7302%"	"0.7737"
22	2050	203	"박성배_T1247"	"https://s3-ap-northeast-2.amazonaws.com/prod-aistages-public/app/Users/00000203/user_image.png"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000001/Users/00000203/Submissions/0022/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210409%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210409T001902Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=32e5908f0a3cc5b76367d743193175af2ae494cbce76c006f185187d73049c87"	"{\"training\": {}, \"inference\": {}}"	"10epoch /grif(2,2)(4,2)/ b3 /adam 3e-4/batchsize64/"	"{\"accuracy\": {\"value\": \"81.5873%\", \"rank\": false, \"decs\": true}, \"f1\": {\"value\": \"0.7660\", \"rank\": true, \"decs\": true}}"	"2021-04-03T01:15:13.334032+09:00"	false	"81.5873%"	"0.7660"
43	5113	203	"박성배_T1247"	"https://s3-ap-northeast-2.amazonaws.com/prod-aistages-public/app/Users/00000203/user_image.png"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000001/Users/00000203/Submissions/0043/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210409%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210409T001902Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=b552baccb5f276c14dd9177fc67a170af457c44eacc5e730d5be3cc387c6b0ff"	"{\"training\": {}, \"inference\": {}}"	""	"{\"accuracy\": {\"value\": \"80.4603%\", \"rank\": false, \"decs\": true}, \"f1\": {\"value\": \"0.7646\", \"rank\": true, \"decs\": true}}"	"2021-04-07T19:12:59.720947+09:00"	false	"80.4603%"	"0.7646"
44	5146	203	"박성배_T1247"	"https://s3-ap-northeast-2.amazonaws.com/prod-aistages-public/app/Users/00000203/user_image.png"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000001/Users/00000203/Submissions/0044/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210409%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210409T001902Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=ee48773ca57f7261c57bd3d080c9e38274a8e7de851cba4163d25f7b8a4ac45e"	"{\"training\": {}, \"inference\": {}}"	""	"{\"accuracy\": {\"value\": \"80.5556%\", \"rank\": false, \"decs\": true}, \"f1\": {\"value\": \"0.7625\", \"rank\": true, \"decs\": true}}"	"2021-04-07T19:40:28.961079+09:00"	false	"80.5556%"	"0.7625"
14	1485	203	"박성배_T1247"	"https://s3-ap-northeast-2.amazonaws.com/prod-aistages-public/app/Users/00000203/user_image.png"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000001/Users/00000203/Submissions/0014/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210409%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210409T001902Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=71a6d4ed2da1bc5c03b0b7f8ca9224c945550f1df0e19a08b464107258efc483"	"{\"training\": {}, \"inference\": {}}"	"age57/ b5,b3,b3 / epoch30/"	"{\"accuracy\": {\"value\": \"80.2200%\", \"rank\": false, \"decs\": true}, \"f1\": {\"value\": \"0.7600\", \"rank\": true, \"decs\": true}}"	"2021-04-01T23:45:11.342186+09:00"	false	"80.2200%"	"0.7600"
39	5055	203	"박성배_T1247"	"https://s3-ap-northeast-2.amazonaws.com/prod-aistages-public/app/Users/00000203/user_image.png"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000001/Users/00000203/Submissions/0039/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210409%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210409T001902Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=102c9e437ea310b2785d070e49d515019f31b032b7917c7319e2c865edbd5217"	"{\"training\": {}, \"inference\": {}}"	""	"{\"accuracy\": {\"value\": \"80.9683%\", \"rank\": false, \"decs\": true}, \"f1\": {\"value\": \"0.7577\", \"rank\": true, \"decs\": true}}"	"2021-04-07T18:23:21.256089+09:00"	false	"80.9683%"	"0.7577"
